ID,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
10-1826S060,6,6,6
10-1830 024,6,5,5
10-1831 060,6,6,6
10-1864 215B,7,8,7
10-1893N082,6,7,6
10-1893S082,6,7,7
10-1900N082,6,6,7
10-1900S082,6,6,7
10-1901N082,7,7,7
10-1901S082,7,7,8
10-1903N082,6,8,8
10-1903S082,6,8,8
10-1904N083,7,6,6
10-1904S083,7,6,7
10-1905N083,7,8,6
10-1905S083,7,8,6
10-1906N083,7,7,6
10-1906S083,7,7,7
10-1907N080,7,6,7
10-1907S080,7,6,7
10-1908N080,7,6,7
10-1908S080,6,6,6
10-1909N080,7,8,7
10-1909S080,7,7,7
10-1910N080,7,7,7
10-1910S080,7,7,7
10-1911N080,7,7,7
10-1911S080,7,6,7
10-1912N083,7,7,8
10-1912S083,7,8,7
10-1914N080,7,6,7
10-1914S080,6,6,7
10-1932N083,7,6,7
10-1932S083,7,7,7
10-2001C001,6,7,7
10-2002C002,7,7,5
10-2002D002,7,7,5
10-2003B003,7,8,7
10-2004A004,7,8,8
10-2005C005,6,7,6
10-2005D005,6,7,7
10-2007B008,7,6,6
10-2008A008,7,6,6
10-2008B008,6,6,6
10-2008E010A,7,6,8
10-2008F010,8,8,6
10-2008H008,6,7,5
10-2008I008,6,6,5
10-2008J008,6,6,7
10-2009A009,6,7,6
10-2009D009,7,6,6
10-2012B012,6,5,5
10-2012C012,8,7,6
10-2014C014,7,7,7
10-2017B017,7,7,8
10-2019A019,8,8,6
10-2019B019,8,8,8
10-2033B033,8,8,8
10-2035A035,7,6,5
10-2036A036,6,5,6
10-2050A050,7,5,5
10-2053D053,6,6,6
10-2059E059,5,5,6
10-2060B060,5,5,6
10-2063A063,6,6,5
10-2064A076,7,8,7
10-2066B066,7,7,6
10-2084A084,7,8,7
10-2084B084,7,8,7
10-2084C084,7,6,7
10-2086A086,7,7,7
10-2088B088,7,6,7
10-2095A095,7,7,7
10-2103A103,7,5,7
10-2104A104,7,7,7
10-2104C104,7,6,6
10-2124B124,5,5,7
10-2156A156,7,7,7
10-2156C156,7,7,7
10-2162A162,7,7,6
10-2186A186,7,7,8
10-2195A195,8,8,8
10-2203A203,8,8,7
10-2207A207,6,6,6
10-2208A208,6,6,6
10-2208B208,7,8,6
10-2208C208,7,7,8
10-2210A210,7,8,7
10-2211A211,6,7,6
10-2212A212,7,7,7
10-2213A213,9,9,9
10-2214A214,6,6,6
10-2222A222,6,8,7
10-2223A223,7,7,7
10-2249A249,7,6,7
10-2268A268,5,5,6
10-2285A285,5,5,7
10-2299B299,7,7,5
10-2304C304,5,5,6
10-2305A305,7,7,6
10-2307A307,7,7,6
10-2345 345,7,7,7
10-2356A356A,7,7,6
10-2356B356,7,6,5
10-2356C356,7,6,5
10-2363A363,6,6,7
10-2364B364,7,8,7
10-2380A380,8,8,6
10-2384A384,5,8,7
10-2388A388,7,6,6
10-2388B388,7,6,6
10-2389A389,7,8,7
10-2390C390,5,5,6
10-2398B398,7,7,6
10-2409A409,7,7,5
10-2418A418,7,7,6
10-2915N150,7,8,7
10-2915S150,7,7,7
10-2916N150,7,8,7
10-2916S150,7,8,7
10-2917N150,7,6,7
10-2917S150,7,6,7
10-2918N150,7,6,7
10-2918S150,7,6,6
10-2919N150,6,6,7
10-2919S150,7,6,7
10-2920N150,7,6,7
10-2920S150,7,6,7
10-2921E7046,7,6,7
10-2921W7045,7,6,7
10-2922N150,7,6,7
10-2922S150,6,6,6
10-2923S150,7,6,7
10-2924N150,7,6,7
10-2924S150,7,6,7
10-2925 150,7,7,7
10-2926 150A,7,7,6
10-2927N150,7,7,7
10-2927S150,7,8,7
10-2929E150A,7,7,6
10-2929W150A,6,7,6
10-2930E150A,7,8,7
10-2930W150A,7,8,7
10-2931 150A,6,6,6
10-3001 014,6,7,6
10-3002 036,6,6,6
10-3003N007,7,6,6
10-3003S007,7,5,6
10-3004 206,8,8,8
10-3108 016,6,5,7
10-3112 404,5,5,6
10-3128 545,5,5,5
10-3131 600,7,5,7
10-3140 597,8,8,8
10-3146A004,6,6,6
10-3150N014,6,6,7
10-3150S014,5,5,6
10-3154B019A,6,4,6
10-3154C019A,4,4,6
10-3155N014,6,5,5
10-3155S014,6,5,5
10-3156 050,7,7,7
10-3161 028A,7,5,6
10-3164 036,7,5,5
10-3215 536,5,5,6
10-3216 536,6,7,5
10-3231 018,7,7,5
10-3232 018,7,6,5
10-3235 525,7,7,5
10-3239 046,6,6,6
10-3240 046,7,7,8
10-3241 534,6,7,8
10-3247 483,6,6,6
10-3251 524,6,6,6
10-3253N003,6,6,5
10-3253S003,6,6,5
10-3254N003,6,5,5
10-3254S003,6,5,5
10-3305 492,7,8,8
10-3306 493,7,8,8
10-3308 494,7,7,5
10-3347 449,8,6,7
10-3348 463,7,8,6
10-3350 072,7,8,8
10-3365N002,6,7,5
10-3365S002,6,7,5
10-3366 493,8,8,6
10-3420 058,8,7,7
10-3421 058,8,7,6
10-3425 026,6,7,6
10-3438 382A,7,8,7
10-3440 382,7,6,6
10-3442 092,7,7,7
10-3445 054,7,8,7
10-3453 361,7,6,6
10-3454 357,6,6,6
10-3456 363,6,6,6
10-3460 381,7,6,6
10-3507 113,6,4,6
10-3508 113,6,6,5
10-3523 334,6,6,6
10-3558 417,9,9,9
10-3634 040,6,6,6
10-3636 565,7,7,7
10-3644 018,5,6,6
10-3673 048,8,8,6
10-3708 024,7,7,6
10-3714 266,7,7,5
10-3715 267,7,6,5
10-3717 257,6,6,6
10-3725N014,7,7,6
10-3725S014,6,7,6
10-3808 197,7,5,6
10-3811 016,6,6,6
10-3815N014,7,8,7
10-3815S014,7,6,5
10-3818 038,7,5,6
10-3822 039,9,9,9
10-3908 633,7,6,6
10-3911 036,7,7,6
10-3933N014,7,8,7
10-3933S014,6,6,5
10-3940 038,5,5,7
10-000000001494016,6,5,6
10-000000001495034,5,4,5
10-1902 082,7,6,7
