ID,AGE,ADT_029,ADTT,TRAFFIC_LANES_ON_028A,MAIN_UNIT_SPANS_045,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,VERT_CLR_UND_054B
10-3108 016,82,7928,63424.0,2,1,9.1,10.5,14.3,0.0
10-3112 404,60,9481,75848.0,2,3,14.9,46.8,14.6,0.0
10-3128 545,49,1674,10044.0,2,2,10.4,21.6,9.3,0.0
10-3131 600,88,869,6952.0,2,1,9.4,10.7,9.6,0.0
10-3140 597,4,133,798.0,2,1,9.0,12.2,14.7,0.0
10-3146A004,67,25057,200456.0,4,1,6.5,7.7,38.6,0.0
10-3150N014,33,30889,247112.0,2,3,51.8,124.2,14.3,5.07
10-3150S014,40,30889,247112.0,2,3,51.8,124.2,14.3,4.98
10-3154B019A,54,1237,4948.0,1,1,18.5,19.3,3.7,0.0
10-3154C019A,54,1237,4948.0,1,1,18.5,19.4,3.6,0.0
10-3155N014,51,14068,112544.0,2,5,24.1,91.7,10.4,0.0
10-3155S014,51,14068,112544.0,2,5,24.1,89.2,10.4,0.0
10-3156 050,6,23755,118775.0,4,3,289.6,792.5,32.4,5.12
10-3161 028A,103,3436,20616.0,1,2,16.8,34.1,5.2,0.0
10-3164 036,69,2112,12672.0,2,1,12.2,25.3,7.5,0.0
10-3215 536,43,548,3288.0,2,1,10.7,12.2,11.9,0.0
10-3216 536,52,1353,16236.0,2,1,10.7,12.3,12.1,0.0
10-3231 018,77,5556,50004.0,2,1,6.7,7.3,13.1,0.0
10-3232 018,98,10687,85496.0,2,2,10.2,21.3,14.9,0.0
10-3235 525,35,2498,19984.0,2,3,6.1,18.4,9.4,0.0
10-3239 046,85,3239,19434.0,2,1,11.0,12.2,9.6,0.0
10-3240 046,8,3239,19434.0,2,1,18.3,19.2,12.3,0.0
10-3241 534,24,5486,43888.0,2,1,15.2,16.4,12.4,0.0
10-3247 483,33,364,2912.0,2,1,6.7,7.4,9.1,0.0
10-3251 524,38,698,5584.0,2,2,9.1,19.2,12.0,0.0
10-3253N003,66,18663,111978.0,2,3,10.7,31.9,10.4,0.0
10-3253S003,66,18663,111978.0,2,3,10.7,31.9,10.4,0.0
10-3254N003,67,17443,104658.0,2,9,13.6,99.9,10.4,0.0
10-3254S003,67,17443,104658.0,2,9,13.6,99.9,10.4,0.0
10-3305 492,19,907,9977.0,2,1,15.1,16.0,10.8,0.0
10-3306 493,19,1932,21252.0,2,1,10.0,10.7,9.8,0.0
10-3308 494,33,375,2250.0,2,1,8.5,9.1,9.1,0.0
10-3347 449,66,409,4908.0,2,1,11.6,12.8,7.8,0.0
10-3348 463,36,387,2322.0,2,1,18.3,19.4,8.1,0.0
10-3350 072,15,121,1452.0,2,1,10.1,11.0,9.1,0.0
10-3365N002,67,24833,248330.0,2,5,10.7,59.2,10.4,0.0
10-3365S002,67,12416,124160.0,2,5,10.7,59.2,10.4,0.0
10-3366 493,32,1282,8974.0,2,1,7.7,8.8,10.4,0.0
10-3420 058,15,5922,35532.0,2,41,12.0,498.0,11.5,0.0
10-3421 058,15,6189,30945.0,2,20,12.0,238.6,11.5,0.0
10-3425 026,28,10120,60720.0,2,2,18.3,38.3,17.3,0.0
10-3438 382A,57,2439,14634.0,2,1,8.5,9.3,10.4,0.0
10-3440 382,36,5913,35478.0,2,1,15.2,17.1,14.2,0.0
10-3442 092,30,348,2088.0,2,1,9.1,9.8,12.5,0.0
10-3445 054,19,2923,17538.0,2,1,19.8,20.8,12.1,0.0
10-3453 361,30,5529,33174.0,2,3,17.6,45.1,14.2,0.0
10-3454 357,33,10632,116952.0,2,3,14.4,38.5,11.4,0.0
10-3456 363,32,3044,27396.0,2,1,9.4,10.0,10.4,0.0
10-3460 381,57,1992,23904.0,2,1,10.8,11.6,11.1,0.0
10-3507 113,102,30031,240248.0,4,1,6.5,6.8,32.1,0.0
10-3508 113,106,24588,245880.0,4,1,6.5,6.8,31.8,0.0
10-3523 334,78,104016,624096.0,2,1,7.3,8.5,12.5,0.0
10-3558 417,2,749,5992.0,2,1,18.9,19.8,12.3,0.0
10-3634 040,84,2153,23683.0,2,1,10.8,11.6,10.9,0.0
10-3636 565,22,560,6720.0,2,2,8.0,16.6,9.1,0.0
10-3644 018,96,11171,67026.0,2,1,9.1,10.4,12.8,0.0
10-3673 048,86,5188,41504.0,2,1,7.3,7.9,8.2,0.0
10-3708 024,26,18401,147208.0,2,10,18.1,184.8,16.1,0.0
10-3714 266,29,4599,36792.0,2,1,9.1,9.8,11.7,0.0
10-3715 267,32,1640,9840.0,2,1,17.8,19.7,11.7,0.0
10-3717 257,33,196,1568.0,2,3,5.8,18.3,8.6,0.0
10-3725N014,51,14068,112544.0,2,3,13.9,43.7,13.1,7.01
10-3725S014,51,14068,112544.0,2,3,13.8,43.6,13.1,7.62
10-3808 197,26,6422,38532.0,2,1,15.7,17.5,12.2,0.0
10-3811 016,29,2115,12690.0,2,1,12.4,13.3,14.5,0.0
10-3815N014,15,14636,87816.0,2,1,12.0,13.1,13.6,0.0
10-3815S014,45,14636,87816.0,2,1,12.0,13.9,13.4,0.0
10-3818 038,87,397,2382.0,2,1,10.2,10.9,7.0,0.0
10-3822 039,2,431,2586.0,2,1,20.4,22.3,10.6,0.0
10-3908 633,30,1366,10928.0,2,1,15.7,16.8,10.6,0.0
10-3911 036,71,3846,34614.0,2,1,6.6,7.0,11.6,0.0
10-3933N014,19,11680,93440.0,2,2,11.9,25.6,12.8,0.0
10-3933S014,46,11680,93440.0,2,2,12.0,25.8,13.4,0.0
10-3940 038,86,1360,8160.0,2,1,6.7,6.7,9.4,0.0
10-000000001494016,59,21107,527675.0,4,3,182.9,627.3,19.5,0.0
10-000000001495034,77,10208,81664.0,4,1,164.5,1282.9,16.4,0.0
10-1902 082,23,112350,1123500.0,6,7,228.6,1417.3,38.8,12.13
